Ciudad,Fecha,Temperatura
Barrancabermeja,01/02/2021,37.2
Barrancabermeja,08/02/2021,36.6
Barrancabermeja,15/02/2021,32.8
Barrancabermeja,22/02/2021,37.0
Barrancabermeja,01/03/2021,26.2
Barrancabermeja,08/03/2021,27.5
Barrancabermeja,15/03/2021,25.6
Barrancabermeja,22/03/2021,29.2
Barrancabermeja,01/04/2021,30.1
Barrancabermeja,08/04/2021,28.5
Barrancabermeja,15/04/2021,35.8
Barrancabermeja,22/04/2021,29.6
Barrancabermeja,01/05/2021,28.7
Barrancabermeja,08/05/2021,32.1
Barrancabermeja,15/05/2021,26.8
Barrancabermeja,22/05/2021,35.4
Barrancabermeja,01/06/2021,26.0
Barrancabermeja,08/06/2021,37.8
Barrancabermeja,15/06/2021,35.0
Barrancabermeja,22/06/2021,27.6
Barrancabermeja,01/07/2021,25.1
Barrancabermeja,08/07/2021,35.6
Barrancabermeja,15/07/2021,34.2
Barrancabermeja,22/07/2021,34.5
Barrancabermeja,01/08/2021,35.0
Barrancabermeja,08/08/2021,26.0
Barrancabermeja,15/08/2021,29.7
Barrancabermeja,22/08/2021,26.5
Barrancabermeja,01/09/2021,36.2
Barrancabermeja,08/09/2021,33.1
Barrancabermeja,15/09/2021,29.3
Barrancabermeja,22/09/2021,25.8
Barrancabermeja,01/10/2021,29.0
Barrancabermeja,08/10/2021,29.2
Barrancabermeja,15/10/2021,34.5
Barrancabermeja,22/10/2021,33.3
Barrancabermeja,01/11/2021,36.5
Barrancabermeja,08/11/2021,31.1
Barrancabermeja,15/11/2021,26.6
Barrancabermeja,22/11/2021,34.3
Barrancabermeja,01/12/2021,34.9
Barrancabermeja,08/12/2021,32.3
Barrancabermeja,15/12/2021,35.0
Barrancabermeja,22/12/2021,31.4
Barrancabermeja,01/01/2022,31.8
Barrancabermeja,08/01/2022,30.6
Barrancabermeja,15/01/2022,25.3
Barrancabermeja,22/01/2022,26.4
Barrancabermeja,01/02/2022,25.4
Barrancabermeja,08/02/2022,33.3
Barrancabermeja,15/02/2022,29.1
Barrancabermeja,22/02/2022,31.6
Barrancabermeja,01/03/2022,36.8
Barrancabermeja,08/03/2022,28.2
Barrancabermeja,15/03/2022,30.3
Barrancabermeja,22/03/2022,34.8
Barrancabermeja,01/04/2022,28.0
Barrancabermeja,08/04/2022,26.0
Barrancabermeja,15/04/2022,28.8
Barrancabermeja,22/04/2022,27.1
Barrancabermeja,01/05/2022,37.1
Barrancabermeja,08/05/2022,35.5
Barrancabermeja,15/05/2022,33.2
Barrancabermeja,22/05/2022,36.3
Barrancabermeja,01/06/2022,35.4
Barrancabermeja,08/06/2022,27.4
Barrancabermeja,15/06/2022,36.6
Barrancabermeja,22/06/2022,32.0
Barrancabermeja,01/07/2022,35.5
Barrancabermeja,08/07/2022,36.6
Barrancabermeja,15/07/2022,29.1
Barrancabermeja,22/07/2022,26.4
Barrancabermeja,01/08/2022,28.0
Barrancabermeja,08/08/2022,30.6
Barrancabermeja,15/08/2022,35.6
Barrancabermeja,22/08/2022,36.2
Barrancabermeja,01/09/2022,25.1
Barrancabermeja,08/09/2022,31.6
Barrancabermeja,15/09/2022,30.4
Barrancabermeja,22/09/2022,27.9
Barrancabermeja,01/10/2022,26.6
Barrancabermeja,08/10/2022,29.4
Barrancabermeja,15/10/2022,37.3
Barrancabermeja,22/10/2022,29.2
Barrancabermeja,01/11/2022,31.7
Barrancabermeja,08/11/2022,34.1
Barrancabermeja,15/11/2022,29.7
Barrancabermeja,22/11/2022,37.6
Barrancabermeja,01/12/2022,37.5
Barrancabermeja,08/12/2022,28.3
Barrancabermeja,15/12/2022,31.5
Barrancabermeja,22/12/2022,28.9
Barrancabermeja,01/01/2023,28.7
Barrancabermeja,08/01/2023,25.5
Barrancabermeja,15/01/2023,32.9
Barrancabermeja,22/01/2023,31.5
Barrancabermeja,01/02/2023,25.7
Barrancabermeja,08/02/2023,28.6
Barrancabermeja,15/02/2023,36.8
Barrancabermeja,22/02/2023,28.1
Barrancabermeja,01/03/2023,26.9
Barrancabermeja,08/03/2023,31.4
Barrancabermeja,15/03/2023,37.8
Barrancabermeja,22/03/2023,28.1
Barrancabermeja,01/04/2023,33.7
Barrancabermeja,08/04/2023,34.9
Barrancabermeja,15/04/2023,28.1
Barrancabermeja,22/04/2023,34.5
Barrancabermeja,01/05/2023,29.8
Barrancabermeja,08/05/2023,33.2
Barrancabermeja,15/05/2023,33.2
Barrancabermeja,22/05/2023,32.0
Barrancabermeja,01/06/2023,26.2
Barrancabermeja,08/06/2023,35.9
Barrancabermeja,15/06/2023,29.2
Barrancabermeja,22/06/2023,27.4
Barrancabermeja,01/07/2023,25.5
Barrancabermeja,08/07/2023,32.7
Barrancabermeja,15/07/2023,33.8
Barrancabermeja,22/07/2023,25.2
Barrancabermeja,01/08/2023,31.7
Barrancabermeja,08/08/2023,27.9
Barrancabermeja,15/08/2023,33.4
Barrancabermeja,22/08/2023,27.3
Barrancabermeja,01/09/2023,34.0
Barrancabermeja,08/09/2023,30.0
Barrancabermeja,15/09/2023,37.2
Barrancabermeja,22/09/2023,26.8
Barrancabermeja,01/10/2023,29.4
Barrancabermeja,08/10/2023,26.5
Barrancabermeja,15/10/2023,37.0
Barrancabermeja,22/10/2023,36.4
Barrancabermeja,01/11/2023,28.4
Barrancabermeja,08/11/2023,33.6
Barrancabermeja,15/11/2023,35.6
Barrancabermeja,22/11/2023,32.2
Barrancabermeja,01/12/2023,31.9
Barrancabermeja,08/12/2023,28.1
Barrancabermeja,15/12/2023,26.2
Barrancabermeja,22/12/2023,36.7
Barrancabermeja,01/01/2024,36.7
Barrancabermeja,08/01/2024,33.2
Barrancabermeja,15/01/2024,29.4
Barrancabermeja,22/01/2024,29.5
Barrancabermeja,01/02/2024,34.4
Barrancabermeja,08/02/2024,36.7
Barrancabermeja,15/02/2024,36.5
Barrancabermeja,22/02/2024,35.1
Barrancabermeja,01/03/2024,33.3
Barrancabermeja,08/03/2024,26.1
Barrancabermeja,15/03/2024,27.1
Barrancabermeja,22/03/2024,36.7
Barrancabermeja,01/04/2024,32.9
Barrancabermeja,08/04/2024,25.1
Barrancabermeja,15/04/2024,26.3
Barrancabermeja,22/04/2024,33.6
Barrancabermeja,01/05/2024,25.1
Barrancabermeja,08/05/2024,27.1
Barrancabermeja,15/05/2024,32.1
Barrancabermeja,22/05/2024,34.0
Barrancabermeja,01/06/2024,33.5
Barrancabermeja,08/06/2024,27.9
Barrancabermeja,15/06/2024,34.3
Barrancabermeja,22/06/2024,28.1
Barrancabermeja,01/07/2024,29.2
Barrancabermeja,08/07/2024,34.7
Barrancabermeja,15/07/2024,33.4
Barrancabermeja,22/07/2024,36.0
Barrancabermeja,01/08/2024,33.5
Barrancabermeja,08/08/2024,32.4
Barrancabermeja,15/08/2024,26.2
Barrancabermeja,22/08/2024,29.8
Barrancabermeja,01/09/2024,28.4
Barrancabermeja,08/09/2024,28.2
Barrancabermeja,15/09/2024,37.6
Barrancabermeja,22/09/2024,30.1
Barrancabermeja,01/10/2024,36.6
Barrancabermeja,08/10/2024,33.2
Barrancabermeja,15/10/2024,35.3
Barrancabermeja,22/10/2024,31.5
Barrancabermeja,01/11/2024,32.5
Barrancabermeja,08/11/2024,31.4
Barrancabermeja,15/11/2024,27.5
Barrancabermeja,22/11/2024,34.4
Barrancabermeja,01/12/2024,28.7
Barrancabermeja,08/12/2024,25.3
Barrancabermeja,15/12/2024,33.4
Barrancabermeja,22/12/2024,27.3
Barrancabermeja,01/01/2025,37.2
Barrancabermeja,08/01/2025,37.4
Barrancabermeja,15/01/2025,36.9
Barrancabermeja,22/01/2025,29.8
Barrancabermeja,01/02/2025,25.2
Barrancabermeja,08/02/2025,37.1
Barrancabermeja,15/02/2025,30.6
Barrancabermeja,22/02/2025,37.6
Barrancabermeja,01/03/2025,37.5
Barrancabermeja,08/03/2025,36.1
Barrancabermeja,15/03/2025,28.8
Barrancabermeja,22/03/2025,30.0
Barrancabermeja,01/04/2025,36.1
Barrancabermeja,08/04/2025,29.1
Barrancabermeja,15/04/2025,27.2
Barrancabermeja,22/04/2025,32.2
Barrancabermeja,01/05/2025,37.2
Barrancabermeja,08/05/2025,34.0
Barrancabermeja,15/05/2025,32.4
Barrancabermeja,22/05/2025,26.3
Barrancabermeja,01/06/2025,33.0
Barrancabermeja,08/06/2025,37.9
Barrancabermeja,15/06/2025,26.8
Barrancabermeja,22/06/2025,31.7
Barrancabermeja,01/07/2025,36.4
Barrancabermeja,08/07/2025,34.6
Barrancabermeja,15/07/2025,34.1
Barrancabermeja,22/07/2025,34.1
Barrancabermeja,01/08/2025,29.7
Barrancabermeja,08/08/2025,28.8
Barrancabermeja,15/08/2025,35.5
Barrancabermeja,22/08/2025,35.5
Barrancabermeja,01/09/2025,36.3
Barrancabermeja,08/09/2025,36.9
Barrancabermeja,15/09/2025,31.6
Barrancabermeja,22/09/2025,31.5
Barrancabermeja,01/10/2025,35.4
Barrancabermeja,08/10/2025,33.4
Barrancabermeja,15/10/2025,34.1
Barrancabermeja,22/10/2025,35.3
Barrancabermeja,01/11/2025,36.6
Barrancabermeja,08/11/2025,29.4
Barrancabermeja,15/11/2025,29.9
Barrancabermeja,22/11/2025,26.2
Barrancabermeja,01/12/2025,32.5
Barrancabermeja,08/12/2025,25.5
Barrancabermeja,15/12/2025,31.1
Barrancabermeja,22/12/2025,32.1
Bogotá,01/01/2020,10.7
Bogotá,08/01/2020,14.7
Bogotá,15/01/2020,7.4
Bogotá,22/01/2020,7.5
Bogotá,01/02/2020,17.7
Bogotá,08/02/2020,11.7
Bogotá,15/02/2020,8.7
Bogotá,22/02/2020,13.8
Bogotá,01/03/2020,17.0
Bogotá,08/03/2020,9.8
Bogotá,15/03/2020,15.1
Bogotá,22/03/2020,8.1
Bogotá,01/04/2020,7.7
Bogotá,08/04/2020,13.9
Bogotá,15/04/2020,14.0
Bogotá,22/04/2020,15.3
Bogotá,01/05/2020,16.4
Bogotá,08/05/2020,19.7
Bogotá,15/05/2020,13.7
Bogotá,22/05/2020,11.2
Bogotá,01/06/2020,17.3
Bogotá,08/06/2020,10.5
Bogotá,15/06/2020,12.7
Bogotá,22/06/2020,8.0
Bogotá,01/07/2020,7.3
Bogotá,08/07/2020,19.5
Bogotá,15/07/2020,17.9
Bogotá,22/07/2020,16.0
Bogotá,01/08/2020,12.3
Bogotá,08/08/2020,9.3
Bogotá,15/08/2020,9.0
Bogotá,22/08/2020,10.3
Bogotá,01/09/2020,14.1
Bogotá,08/09/2020,16.3
Bogotá,15/09/2020,15.6
Bogotá,22/09/2020,10.6
Bogotá,01/10/2020,19.4
Bogotá,08/10/2020,16.6
Bogotá,15/10/2020,14.2
Bogotá,22/10/2020,15.0
Bogotá,01/11/2020,12.5
Bogotá,08/11/2020,10.2
Bogotá,15/11/2020,11.6
Bogotá,22/11/2020,16.9
Bogotá,01/12/2020,7.2
Bogotá,08/12/2020,8.5
Bogotá,15/12/2020,7.6
Bogotá,22/12/2020,7.5
Bogotá,01/01/2021,18.1
Bogotá,08/01/2021,16.1
Bogotá,15/01/2021,13.2
Bogotá,22/01/2021,8.3
Bogotá,01/02/2021,13.4
Bogotá,08/02/2021,13.2
Bogotá,15/02/2021,9.3
Bogotá,22/02/2021,12.6
Bogotá,01/03/2021,12.2
Bogotá,08/03/2021,15.0
Bogotá,15/03/2021,15.3
Bogotá,22/03/2021,7.6
Bogotá,01/04/2021,11.9
Bogotá,08/04/2021,15.1
Bogotá,15/04/2021,13.5
Bogotá,22/04/2021,18.1
Bogotá,01/05/2021,15.6
Bogotá,08/05/2021,9.1
Bogotá,15/05/2021,7.9
Bogotá,22/05/2021,15.4
Bogotá,01/06/2021,7.3
Bogotá,08/06/2021,14.6
Bogotá,15/06/2021,19.2
Bogotá,22/06/2021,14.5
Bogotá,01/07/2021,12.0
Bogotá,08/07/2021,15.4
Bogotá,15/07/2021,13.0
Bogotá,22/07/2021,14.1
Bogotá,01/08/2021,19.2
Bogotá,08/08/2021,12.0
Bogotá,15/08/2021,19.5
Bogotá,22/08/2021,18.8
Bogotá,01/09/2021,9.5
Bogotá,08/09/2021,7.9
Bogotá,15/09/2021,8.3
Bogotá,22/09/2021,7.2
Bogotá,01/10/2021,8.2
Bogotá,08/10/2021,15.9
Bogotá,15/10/2021,7.9
Bogotá,22/10/2021,11.1
Bogotá,01/11/2021,18.0
Bogotá,08/11/2021,7.3
Bogotá,15/11/2021,17.6
Bogotá,22/11/2021,10.7
Bogotá,01/12/2021,8.5
Bogotá,08/12/2021,16.1
Bogotá,15/12/2021,15.2
Bogotá,22/12/2021,18.4
Bogotá,01/01/2022,16.6
Bogotá,08/01/2022,17.4
Bogotá,15/01/2022,10.7
Bogotá,22/01/2022,9.3
Bogotá,01/02/2022,16.8
Bogotá,08/02/2022,17.5
Bogotá,15/02/2022,19.9
Bogotá,22/02/2022,12.4
Bogotá,01/03/2022,11.8
Bogotá,08/03/2022,17.1
Bogotá,15/03/2022,11.4
Bogotá,22/03/2022,19.1
Bogotá,01/04/2022,18.2
Bogotá,08/04/2022,12.6
Bogotá,15/04/2022,16.8
Bogotá,22/04/2022,16.8
Bogotá,01/05/2022,8.3
Bogotá,08/05/2022,18.7
Bogotá,15/05/2022,13.6
Bogotá,22/05/2022,17.7
Bogotá,01/06/2022,11.2
Bogotá,08/06/2022,18.6
Bogotá,15/06/2022,12.1
Bogotá,22/06/2022,7.1
Bogotá,01/07/2022,18.8
Bogotá,08/07/2022,8.2
Bogotá,15/07/2022,11.2
Bogotá,22/07/2022,19.4
Bogotá,01/08/2022,19.4
Bogotá,08/08/2022,14.5
Bogotá,15/08/2022,15.2
Bogotá,22/08/2022,12.8
Bogotá,01/09/2022,10.8
Bogotá,08/09/2022,11.3
Bogotá,15/09/2022,15.7
Bogotá,22/09/2022,16.8
Bogotá,01/10/2022,17.3
Bogotá,08/10/2022,17.3
Bogotá,15/10/2022,8.2
Bogotá,22/10/2022,13.4
Bogotá,01/11/2022,7.7
Bogotá,08/11/2022,14.1
Bogotá,15/11/2022,12.7
Bogotá,22/11/2022,18.5
Bogotá,01/12/2022,11.6
Bogotá,08/12/2022,8.5
Bogotá,15/12/2022,8.9
Bogotá,22/12/2022,16.9
Bogotá,01/01/2023,15.0
Bogotá,08/01/2023,8.3
Bogotá,15/01/2023,8.1
Bogotá,22/01/2023,16.1
Bogotá,01/02/2023,7.9
Bogotá,08/02/2023,17.7
Bogotá,15/02/2023,16.2
Bogotá,22/02/2023,8.1
Bogotá,01/03/2023,8.1
Bogotá,08/03/2023,19.8
Bogotá,15/03/2023,11.9
Bogotá,22/03/2023,11.8
Bogotá,01/04/2023,17.6
Bogotá,08/04/2023,19.3
Bogotá,15/04/2023,19.8
Bogotá,22/04/2023,16.8
Bogotá,01/05/2023,11.9
Bogotá,08/05/2023,8.1
Bogotá,15/05/2023,17.1
Bogotá,22/05/2023,14.3
Bogotá,01/06/2023,12.5
Bogotá,08/06/2023,18.8
Bogotá,15/06/2023,8.4
Bogotá,22/06/2023,13.4
Bogotá,01/07/2023,7.1
Bogotá,08/07/2023,13.1
Bogotá,15/07/2023,7.7
Bogotá,22/07/2023,8.5
Bogotá,01/08/2023,8.5
Bogotá,08/08/2023,15.4
Bogotá,15/08/2023,16.7
Bogotá,22/08/2023,14.6
Bogotá,01/09/2023,19.5
Bogotá,08/09/2023,11.9
Bogotá,15/09/2023,10.7
Bogotá,22/09/2023,18.3
Bogotá,01/10/2023,9.9
Bogotá,08/10/2023,19.5
Bogotá,15/10/2023,7.2
Bogotá,22/10/2023,19.6
Bogotá,01/11/2023,7.6
Bogotá,08/11/2023,18.6
Bogotá,15/11/2023,13.9
Bogotá,22/11/2023,19.9
Bogotá,01/12/2023,8.0
Bogotá,08/12/2023,14.2
Bogotá,15/12/2023,19.6
Bogotá,22/12/2023,13.8
Bogotá,01/01/2024,15.2
Bogotá,08/01/2024,16.0
Bogotá,15/01/2024,12.9
Bogotá,22/01/2024,15.2
Bogotá,01/02/2024,14.6
Bogotá,08/02/2024,18.7
Bogotá,15/02/2024,7.6
Bogotá,22/02/2024,10.7
Bogotá,01/03/2024,19.4
Bogotá,08/03/2024,18.6
Bogotá,15/03/2024,12.9
Bogotá,22/03/2024,15.1
Bogotá,01/04/2024,10.6
Bogotá,08/04/2024,9.4
Bogotá,15/04/2024,13.0
Bogotá,22/04/2024,11.6
Bogotá,01/05/2024,14.6
Bogotá,08/05/2024,8.0
Bogotá,15/05/2024,19.7
Bogotá,22/05/2024,19.8
Bogotá,01/06/2024,16.1
Bogotá,08/06/2024,14.0
Bogotá,15/06/2024,11.0
Bogotá,22/06/2024,17.6
Bogotá,01/07/2024,15.9
Bogotá,08/07/2024,9.1
Bogotá,15/07/2024,18.8
Bogotá,22/07/2024,17.7
Bogotá,01/08/2024,19.3
Bogotá,08/08/2024,16.4
Bogotá,15/08/2024,15.0
Bogotá,22/08/2024,12.4
Bogotá,01/09/2024,19.1
Bogotá,08/09/2024,18.3
Bogotá,15/09/2024,7.6
Bogotá,22/09/2024,7.3
Bogotá,01/10/2024,11.9
Bogotá,08/10/2024,17.5
Bogotá,15/10/2024,19.8
Bogotá,22/10/2024,9.0
Bogotá,01/11/2024,14.7
Bogotá,08/11/2024,12.0
Bogotá,15/11/2024,19.6
Bogotá,22/11/2024,17.9
Bogotá,01/12/2024,17.9
Bogotá,08/12/2024,13.1
Bogotá,15/12/2024,12.4
Bogotá,22/12/2024,10.6
Bogotá,01/01/2025,7.7
Bogotá,08/01/2025,18.2
Bogotá,15/01/2025,17.6
Bogotá,22/01/2025,20.0
Bogotá,01/02/2025,20.0
Bogotá,08/02/2025,14.2
Bogotá,15/02/2025,17.0
Bogotá,22/02/2025,19.3
Bogotá,01/03/2025,18.0
Bogotá,08/03/2025,10.2
Bogotá,15/03/2025,12.9
Bogotá,22/03/2025,8.7
Bogotá,01/04/2025,19.4
Bogotá,08/04/2025,14.9
Bogotá,15/04/2025,10.0
Bogotá,22/04/2025,15.7
Bogotá,01/05/2025,15.0
Bogotá,08/05/2025,11.7
Bogotá,15/05/2025,8.5
Bogotá,22/05/2025,15.7
Bogotá,01/06/2025,13.8
Bogotá,08/06/2025,17.0
Bogotá,15/06/2025,13.8
Bogotá,22/06/2025,18.1
Bogotá,01/07/2025,14.2
Bogotá,08/07/2025,14.3
Bogotá,15/07/2025,18.4
Bogotá,22/07/2025,12.2
Bogotá,01/08/2025,8.7
Bogotá,08/08/2025,7.4
Bogotá,15/08/2025,16.8
Bogotá,22/08/2025,15.1
Bogotá,01/09/2025,16.2
Bogotá,08/09/2025,9.8
Bogotá,15/09/2025,8.8
Bogotá,22/09/2025,7.2
Bogotá,01/10/2025,11.6
Bogotá,08/10/2025,14.7
Bogotá,15/10/2025,12.1
Bogotá,22/10/2025,12.7
Bogotá,01/11/2025,18.8
Bogotá,08/11/2025,11.5
Bogotá,15/11/2025,13.7
Bogotá,22/11/2025,17.2
Bogotá,01/12/2025,12.2
Bogotá,08/12/2025,15.1
Bogotá,15/12/2025,18.2
Bogotá,22/12/2025,19.3
Cali,01/01/2020,22.1
Cali,08/01/2020,33.0
Cali,15/01/2020,26.9
Cali,22/01/2020,23.6
Cali,01/02/2020,26.4
Cali,08/02/2020,33.7
Cali,15/02/2020,26.9
Cali,22/02/2020,24.6
Cali,01/03/2020,28.9
Cali,08/03/2020,23.4
Cali,15/03/2020,21.1
Cali,22/03/2020,21.8
Cali,01/04/2020,21.8
Cali,08/04/2020,22.1
Cali,15/04/2020,21.9
Cali,22/04/2020,29.0
Cali,01/05/2020,22.5
Cali,08/05/2020,24.8
Cali,15/05/2020,32.6
Cali,22/05/2020,26.6
Cali,01/06/2020,29.3
Cali,08/06/2020,22.4
Cali,15/06/2020,22.7
Cali,22/06/2020,20.6
Cali,01/07/2020,22.4
Cali,08/07/2020,23.9
Cali,15/07/2020,22.5
Cali,22/07/2020,21.2
Cali,01/08/2020,21.7
Cali,08/08/2020,26.5
Cali,15/08/2020,22.9
Cali,22/08/2020,25.1
Cali,01/09/2020,27.0
Cali,08/09/2020,29.7
Cali,15/09/2020,20.6
Cali,22/09/2020,31.2
Cali,01/10/2020,28.8
Cali,08/10/2020,21.1
Cali,15/10/2020,32.2
Cali,22/10/2020,32.9
Cali,01/11/2020,20.9
Cali,08/11/2020,23.9
Cali,15/11/2020,31.3
Cali,22/11/2020,30.5
Cali,01/12/2020,22.6
Cali,08/12/2020,22.9
Cali,15/12/2020,25.2
Cali,22/12/2020,26.8
Cali,01/01/2021,28.7
Cali,08/01/2021,25.2
Cali,15/01/2021,26.5
Cali,22/01/2021,30.5
Cali,01/02/2021,20.5
Cali,08/02/2021,23.5
Cali,15/02/2021,30.0
Cali,22/02/2021,32.5
Cali,01/03/2021,27.2
Cali,08/03/2021,27.4
Cali,15/03/2021,21.5
Cali,22/03/2021,26.3
Cali,01/04/2021,27.5
Cali,08/04/2021,23.4
Cali,15/04/2021,23.8
Cali,22/04/2021,25.3
Cali,01/05/2021,20.3
Cali,08/05/2021,24.5
Cali,15/05/2021,23.0
Cali,22/05/2021,24.6
Cali,01/06/2021,21.7
Cali,08/06/2021,32.5
Cali,15/06/2021,28.3
Cali,22/06/2021,29.5
Cali,01/07/2021,31.0
Cali,08/07/2021,27.0
Cali,15/07/2021,21.2
Cali,22/07/2021,27.5
Cali,01/08/2021,28.2
Cali,08/08/2021,30.4
Cali,15/08/2021,26.0
Cali,22/08/2021,21.8
Cali,01/09/2021,24.0
Cali,08/09/2021,25.1
Cali,15/09/2021,29.0
Cali,22/09/2021,28.0
Cali,01/10/2021,25.0
Cali,08/10/2021,33.8
Cali,15/10/2021,28.5
Cali,22/10/2021,23.3
Cali,01/11/2021,21.4
Cali,08/11/2021,22.1
Cali,15/11/2021,23.4
Cali,22/11/2021,22.2
Cali,01/12/2021,22.6
Cali,08/12/2021,24.0
Cali,15/12/2021,22.4
Cali,22/12/2021,32.6
Cali,01/01/2022,21.1
Cali,08/01/2022,27.3
Cali,15/01/2022,25.7
Cali,22/01/2022,33.8
Cali,01/02/2022,21.6
Cali,08/02/2022,25.6
Cali,15/02/2022,33.6
Cali,22/02/2022,32.1
Cali,01/03/2022,31.4
Cali,08/03/2022,23.6
Cali,15/03/2022,22.4
Cali,22/03/2022,29.4
Cali,01/04/2022,33.0
Cali,08/04/2022,27.8
Cali,15/04/2022,28.0
Cali,22/04/2022,23.9
Cali,01/05/2022,30.8
Cali,08/05/2022,22.6
Cali,15/05/2022,24.5
Cali,22/05/2022,26.0
Cali,01/06/2022,27.1
Cali,08/06/2022,23.4
Cali,15/06/2022,21.6
Cali,22/06/2022,28.5
Cali,01/07/2022,24.0
Cali,08/07/2022,28.1
Cali,15/07/2022,22.2
Cali,22/07/2022,26.7
Cali,01/08/2022,27.5
Cali,08/08/2022,20.7
Cali,15/08/2022,24.7
Cali,22/08/2022,21.9
Cali,01/09/2022,20.9
Cali,08/09/2022,33.9
Cali,15/09/2022,24.5
Cali,22/09/2022,31.3
Cali,01/10/2022,23.6
Cali,08/10/2022,29.5
Cali,15/10/2022,30.6
Cali,22/10/2022,28.3
Cali,01/11/2022,26.6
Cali,08/11/2022,25.8
Cali,15/11/2022,24.9
Cali,22/11/2022,33.0
Cali,01/12/2022,31.6
Cali,08/12/2022,33.5
Cali,15/12/2022,21.7
Cali,22/12/2022,30.2
Cali,01/01/2023,33.1
Cali,08/01/2023,22.5
Cali,15/01/2023,20.9
Cali,22/01/2023,30.4
Cali,01/02/2023,28.0
Cali,08/02/2023,31.8
Cali,15/02/2023,22.0
Cali,22/02/2023,31.1
Cali,01/03/2023,22.8
Cali,08/03/2023,22.3
Cali,15/03/2023,22.3
Cali,22/03/2023,31.4
Cali,01/04/2023,29.3
Cali,08/04/2023,27.3
Cali,15/04/2023,25.0
Cali,22/04/2023,32.3
Cali,01/05/2023,25.5
Cali,08/05/2023,31.4
Cali,15/05/2023,26.1
Cali,22/05/2023,25.3
Cali,01/06/2023,26.5
Cali,08/06/2023,24.2
Cali,15/06/2023,30.5
Cali,22/06/2023,27.0
Cali,01/07/2023,23.3
Cali,08/07/2023,32.6
Cali,15/07/2023,25.4
Cali,22/07/2023,27.6
Cali,01/08/2023,32.7
Cali,08/08/2023,28.7
Cali,15/08/2023,21.6
Cali,22/08/2023,33.2
Cali,01/09/2023,28.8
Cali,08/09/2023,24.7
Cali,15/09/2023,21.9
Cali,22/09/2023,31.1
Cali,01/10/2023,28.7
Cali,08/10/2023,27.5
Cali,15/10/2023,32.5
Cali,22/10/2023,31.0
Cali,01/11/2023,22.1
Cali,08/11/2023,24.4
Cali,15/11/2023,23.5
Cali,22/11/2023,30.4
Cali,01/12/2023,20.5
Cali,08/12/2023,28.0
Cali,15/12/2023,30.7
Cali,22/12/2023,32.3
Cali,01/01/2024,24.8
Cali,08/01/2024,31.5
Cali,15/01/2024,21.5
Cali,22/01/2024,31.9
Cali,01/02/2024,21.8
Cali,08/02/2024,25.6
Cali,15/02/2024,31.2
Cali,22/02/2024,22.1
Cali,01/03/2024,23.2
Cali,08/03/2024,30.1
Cali,15/03/2024,30.1
Cali,22/03/2024,29.0
Cali,01/04/2024,29.7
Cali,08/04/2024,27.6
Cali,15/04/2024,23.5
Cali,22/04/2024,24.8
Cali,01/05/2024,22.5
Cali,08/05/2024,32.7
Cali,15/05/2024,28.2
Cali,22/05/2024,25.6
Cali,01/06/2024,26.5
Cali,08/06/2024,33.3
Cali,15/06/2024,22.1
Cali,22/06/2024,28.2
Cali,01/07/2024,27.1
Cali,08/07/2024,28.6
Cali,15/07/2024,20.3
Cali,22/07/2024,32.2
